z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
92,146,238U,2.5579,280,ns,6,IT = 97.40,99.27%,10,-146.9,12,-3586,16,-4608,16,4269.9,21
92,146,238U,2.5579,280,ns,6,SF = 2.60,99.27%,10,-146.9,12,-3586,16,-4608,16,4269.9,21
92,149,241U,,,,,B- ? ,,,1.88E+03,22,-3.50E+03,4,-4.60E+03,4,3.82E+03,20
92,148,240U,0,14.1,h,1,B- = 100.00,,,399,17,-4.29E+03,20,-5.32E+03,20,4035,14
93,129,222Np,,,,,,,,-3.80E+03,3,7.00E+03,6,5.98E+03,6,1.02E+04,3
93,128,221Np,,,,,,,,-6.00E+03,4,5.39E+03,21,4.37E+03,21,1.04E+04,20
93,127,220Np,,,,,,,,,,7.46E+03,11,6.44E+03,11,10226,18
93,126,219Np,,,,,,,,,,6.14E+03,9,5.12E+03,9,9.21E+03,4
93,133,226Np,0,35,ms,10,A = 100.00,,,-2.81E+03,23,5.49E+03,10,4.47E+03,10,8.33E+03,5
93,132,225Np,0,3.6,ms,49,A AP 100.00,,,-4.70E+03,3,4.25E+03,9,3.22E+03,9,8.82E+03,7
93,132,225Np,0,3.6,ms,49,EC ? ,,,-4.70E+03,3,4.25E+03,9,3.22E+03,9,8.82E+03,7
93,131,224Np,,,,,,,,-3.20E+03,3,6.29E+03,3,5.27E+03,3,9.33E+03,3
93,130,223Np,,,,,,,,-5.50E+03,3,4.61E+03,10,3.59E+03,10,9.65E+03,4
93,149,242Np,0,2.2,m,2,B- = 100.00,,,2.70E+03,20,-1.20E+03,3,-2.20E+03,3,4.10E+03,20
93,149,242Np,0,5.5,m,1,B- = 100.00,,,2.70E+03,20,-1.20E+03,3,-2.20E+03,3,4.10E+03,20
93,148,241Np,0,13.9,m,2,B- = 100.00,,,1.36E+03,10,-1.88E+03,22,-2.90E+03,22,4.36E+03,10
93,147,240Np,0,61.9,m,2,B- = 100.00,,,2191,17,-399,17,-1421,17,4557,22
93,147,240Np,0,7.22,m,2,B- = 99.88,,,2191,17,-399,17,-1421,17,4557,22
93,147,240Np,0,7.22,m,2,IT = 0.12,,,2191,17,-399,17,-1421,17,4557,22
93,146,239Np,0,2.356,d,3,B- = 100.00,,,722.8,9,-1261.7,15,-2283.7,15,4597,14
93,145,238Np,0,2.117,d,2,B- = 100.00,,,1291.4,5,146.9,12,-875.1,12,4691,4
93,152,245Np,,,,,,,,2.67E+03,20,,,,,3.70E+03,4
93,151,244Np,0,2.29,m,16,B- = 100.00,,,3.43E+03,10,,,,,3.81E+03,22
93,150,243Np,0,1.85,m,15,B- = 100.00,,,2.05E+03,3,-2.70E+03,3,-3.70E+03,3,4.04E+03,20
93,139,232Np,0,14.7,m,3,EC = 100.00,,,-1.00E+03,10,2.75E+03,10,1.73E+03,10,6.01E+03,10
93,139,232Np,0,14.7,m,3,A = 2.0E-4,,,-1.00E+03,10,2.75E+03,10,1.73E+03,10,6.01E+03,10
93,138,231Np,0,48.8,m,2,EC = 98.00,,,-2.68E+03,6,1.82E+03,5,8.00E+02,5,6.37E+03,5
93,138,231Np,0,48.8,m,2,A = 2.00,,,-2.68E+03,6,1.82E+03,5,8.00E+02,5,6.37E+03,5
93,137,230Np,0,4.6,m,3,EC LE 97.00,,,-1.70E+03,6,3.62E+03,6,2.60E+03,6,6.78E+03,5
93,137,230Np,0,4.6,m,3,A AP 3.00,,,-1.70E+03,6,3.62E+03,6,2.60E+03,6,6.78E+03,5
93,136,229Np,0,4,m,2,A = 68.00,,,-3.59E+03,12,2.59E+03,10,1.57E+03,10,7.02E+03,6
93,136,229Np,0,4,m,2,EC = 32.00,,,-3.59E+03,12,2.59E+03,10,1.57E+03,10,7.02E+03,6
93,135,228Np,0,61.4,s,14,EC = 60.00,,,-2.28E+03,10,4.61E+03,10,3.58E+03,10,7.54E+03,10
93,135,228Np,0,61.4,s,14,A = 40.00,,,-2.28E+03,10,4.61E+03,10,3.58E+03,10,7.54E+03,10
93,134,227Np,0,0.51,s,6,A = 100.00,,,-4.19E+03,13,3.53E+03,8,2.51E+03,8,7816,14
93,144,237Np,0,2.14E+06,y,7,A = 100.00,,,-220.1,13,-518.5,5,-1540.5,5,4957.3,7
93,144,237Np,0,2.14E+06,y,7,SF LE 2E-10,,,-220.1,13,-518.5,5,-1540.5,5,4957.3,7
93,143,236Np,0,1.53E+05,y,5,EC = 86.30,,,4.80E+02,5,9.30E+02,5,-9.00E+01,5,5.01E+03,5
93,143,236Np,0,1.53E+05,y,5,B- = 13.50,,,4.80E+02,5,9.30E+02,5,-9.00E+01,5,5.01E+03,5
93,143,236Np,0,1.53E+05,y,5,A = 0.16,,,4.80E+02,5,9.30E+02,5,-9.00E+01,5,5.01E+03,5
93,143,236Np,0,22.5,h,4,B- = 50.00,,,4.80E+02,5,9.30E+02,5,-9.00E+01,5,5.01E+03,5
93,143,236Np,0,22.5,h,4,EC = 50.00,,,4.80E+02,5,9.30E+02,5,-9.00E+01,5,5.01E+03,5
93,142,235Np,0,396.1,d,12,EC = 100.00,,,-1139,20,124.3,9,-897.7,9,5193.8,15
93,142,235Np,0,396.1,d,12,A = 2.6E-3,,,-1139,20,124.3,9,-897.7,9,5193.8,15
93,141,234Np,0,4.4,d,1,EC = 100.00,,,-395,11,1810,8,788,8,5356,9
93,140,233Np,0,36.2,m,1,EC = 100.00,,,-2.10E+03,7,1.03E+03,5,0,AP,5.63E+03,5
